id,date,time,tweet,language
1.44554E+18,10/5/2021,19:59:45,Tengo una duda al iPhone 13 pro max se le puede poner el mismo cover del 12?? Es que me quiero comprar uno con mis iniciales 🥲,es
1.44554E+18,10/5/2021,19:59:38,tell me why i ordered the new iphone 13 and it won’t be here for a FUCKING MONTH,en
1.44554E+18,10/5/2021,19:59:17,El problema con el nuevo IPhone 13 es a quién chingados se lo vas a vender cuando ya no lo quieras.  Nadie va a pagar 20mil pesos mexicanos (1K USD) por un celular usado. #obsolescenciaprogramada,es
1.44554E+18,10/5/2021,19:59:13,i sold my soul for the iphone 12 and this iphone 13 come in like my soul aint shit,en
1.44554E+18,10/5/2021,19:59:11,AppleシリコンMacの第二章を予感させるiPhone 13のA15 Bionic（本田雅一） #SmartNews   https://t.co/QpbsGHiiv6,ja
1.44554E+18,10/5/2021,19:58:21,みんなiPhone 13 Proのマクロ撮影で綺麗な石とかお花とかむいむいとかお写真とってアップしてくだちい（他力本願）,ja
1.44554E+18,10/5/2021,19:58:20,ブルーライトカット使ってる？  目の疲れが全然違う！     iPhone 13は画質綺麗だけど  ずっと見てると疲れるから   楽天で評判良かった   iPhone用保護フィルム買った♪    https://t.co/YLUehwxtfn,ja
1.44554E+18,10/5/2021,19:58:16,iPhone 13 Pro &amp; Pro Max Review: The Ultimate iPhones?! – EuroJournal  https://t.co/IDvz0Ksrwv,en
1.44554E+18,10/5/2021,19:58:14,"@Davidcmorga Pero pide el iPhone 13 de $45,000 eh 😬",es
1.44554E+18,10/5/2021,19:57:17,Collection iPhone 13 Pixel Art 👉  https://t.co/87ot7n8cYG #NFT #NFTs #Pixelart #iPhone13 #iPhone #crypto  https://t.co/F4Gff9cocE,fr
1.44554E+18,10/5/2021,19:57:04,Just checked my new iPhone 13 Pro’s battery life after a full day like “….how?”,en
1.44554E+18,10/5/2021,19:57:02,iPhone 13 ✅,en
1.44554E+18,10/5/2021,19:56:42,iPhone12Pro Maxと13 Pro  Maxの二台持ちしてるハゲがいて思ったんだけど、 iPhone2台持ち歩きってどういう運用方法なん？？ オタクのイキリ以外に思いつかないんですが…🤔,ja
1.44554E+18,10/5/2021,19:56:39,The cinematic mode the iPhone 13 is dope af 😍,en
1.44554E+18,10/5/2021,19:56:38,You want an iPhone 13?  Upgrade to iOS 15,en
1.44554E+18,10/5/2021,19:56:12,"I'll never buy another @Apple product again simply because of the annoying iPhone 13 Pro ""Hollywood in your Pocket"" commercial.",en
1.44554E+18,10/5/2021,19:55:08,@nosukeisking そう！13からiPhoneデビュー✨,ja
1.44554E+18,10/5/2021,19:55:04,"@peace1 My son just ordered one for me. Should he cancel my IPhone 13? Or wait to see if I will become pregnant after I receive it, and if I do send it back then?? Help me here!! 😩🤣😂😂😂",en
1.44554E+18,10/5/2021,19:54:59,'latoken iPhone 13 giveaway'  @Chaitra_09 @emilylloydsaini @tom23vr  https://t.co/YJUhozbmzM,en
1.44554E+18,10/5/2021,19:54:49,ZDNet: Your new iPhone 13 doesn't belong to you.  https://t.co/it3G9QrnFx  via @GoogleNews,en
1.44554E+18,10/5/2021,19:54:34,【公式】iFace iphone12 iphone13 ケース iphone 13 pro 13mini 13pro max iphone11 iphoneケース se iphone13promax iFace First Class Standard pastel Metallic 保証 【 iphoneケース iphone iphone12ケース 12 12pro 11 se アイフォン スマホケース 耐衝撃 韓国 】  https://t.co/iBDrao5Aza,ja
1.44554E+18,10/5/2021,19:54:31,Also can we talk about how my bill is going DOWN cause they gave me a fRih iPhone 13 wig… now I gotta get rid of this clunky ass 12 Proskis,en
1.44554E+18,10/5/2021,19:54:26,"So, my iPhone 13 was supposed to arrive today, but UPS says it's ""Pending release from a non-UPS broker."" and it looks like it is still in China. When I look online, sounds like this was a huge problem for iPhone 12s as well. @Apple - What's the deal?",en
1.44554E+18,10/5/2021,19:53:58,"@trajaza Quero um iPhone 13 pro Max, vc pode me fazer surpresa na cor @ana_mok_ 😘",pt
1.44554E+18,10/5/2021,19:53:44,@trajaza @b___yasmin não aceito menos q um iPhone 13,pt
1.44554E+18,10/5/2021,19:53:36,"@UnboxTherapy Not gonna beg, but that iPhone 13 pro max is calling my name. Specifically gold or graphite or any color I’m not very picky 😉",en
1.44554E+18,10/5/2021,19:53:25,✨生活の質(QualityOfLife)✨を上げるアームバンドはこれ？  アマゾン(Amazon)のランキング 1 位！  TORRAS 全透明 iPhone 13 Pro Max 用ケース 6.7イン…  【3WAYスタンド搭載・5G生活を支え】iPhone 13 Pro Max用ケース（2021年6.7インチ…   https://t.co/B1at5wGumO,ja
1.44554E+18,10/5/2021,19:52:50,Live look at me placing my order for the iPhone 13.. knowing darn well is the same as my 12 🤒😮‍💨  https://t.co/DI2QIfT7YI,en
1.44554E+18,10/5/2021,19:52:44,Since I got my screen protector put on my iPhone 13 Pro this one is always dusty and I am having to constantly wipe away the dust as it picks up dust like crazy as some screen protectors are not thin and do not pick up dust easily,en
1.44554E+18,10/5/2021,19:52:28,"A Apple está estudando o iPhone 20 📱   E você ae, querendo o 13 Pro Max   Cuidado ⚠️",pt
1.44554E+18,10/5/2021,19:52:23,i promise your iphone 13 is still gonna be working in 2 years,en
1.44554E+18,10/5/2021,19:51:52,@dbrand  when will pre-ordered iphone 13 mini case be shipped ? I purchased 2 weeks back.,en
1.44554E+18,10/5/2021,19:51:35,お、もう裏側ではProResフォーマット対応してんのか！！  FiLMiC Pro、iPhone 13 ProのProRes撮影に対応した「FiLMiC Pro 6.17.0」をリリース  https://t.co/BsHYyQ6la3,ja
1.44554E+18,10/5/2021,19:51:33,si ingreso me compran un iPhone 13 si ingreso me compran un iPhone 13 si ingreso me compran un iPhone 13,it
1.44554E+18,10/5/2021,19:51:27,iPhone 13 Proへの移行、LINEのトークルームが最近使ったの20個くらいしか移行されてないことに気付いた。。。バックアップはもうこの状態でのものしかないし。前のiPhoneのLINEは読むことはまだできるけど、どうしようもない。 なんて不便なアプリだ。 #LINE,ja
1.44554E+18,10/5/2021,19:51:03,This is literally the same fucking shit. #StupidiPhone13Questions  iPhone 13 Pro Max                          iPhone 12 Pro Max  https://t.co/izGAIXHaQX,en
